(u'of', 2.505952403774265)
(u'a', 1.7517895552087845)
(u'and', 2.3096476867099405)
(u'that', 1.1433216138394826)
(u'The', 0.23464548211595015)
(u'said', 0.11578911045591003)
(u'it', 0.8469474999904149)
(u'at', 0.4719748177855141)
(u'from', 0.40334484834310386)
(u'million', 0.0007668153010325168)
(u'was', 0.6257212856425337)
(u'has', 0.11003799569816616)
(u'have', 0.2913898143923564)
(u'or', 0.2672351324098321)
(u'company', 0.012652452467036527)
(u'which', 0.24538089633040538)
(u'year', 0.009968598913422718)
(u'says', 0.01686993662271537)
(u'would', 0.1614146208673448)
(u'more', 0.19208723290864546)
(u'In', 0.09086761317235324)
(u'this', 0.49076179266081077)
(u'than', 0.11847296400952384)
(u'market', 0.0023004459030975502)
(u'New', 0.018020159574264144)
(u'new', 0.01917038252581292)
(u'trading', 0.0007668153010325168)
(u'billion', 0.0003834076505162584)
(u'But', 0.2703023936139622)
(u'but', 0.4267327150245956)
(u'also', 0.03373987324543074)
